country_id,year,food_id,amount_produced_in_tonnes,num_animals_slain
AFG,1961,Sheep and Goat ,73220.0,940000.0
AFG,1962,Sheep and Goat ,72375.0,875000.0
AFG,1963,Sheep and Goat ,75530.0,810000.0
AFG,1964,Sheep and Goat ,79750.0,750000.0
AFG,1965,Sheep and Goat ,84375.0,875000.0
AFG,1966,Sheep and Goat ,89690.0,1130000.0
AFG,1967,Sheep and Goat ,100312.0,1562500.0
AFG,1968,Sheep and Goat ,111312.0,1562500.0
AFG,1969,Sheep and Goat ,106312.0,1562500.0
AFG,1970,Sheep and Goat ,106200.0,1400000.0
AFG,1971,Sheep and Goat ,107312.0,1562500.0
AFG,1972,Sheep and Goat ,88000.0,1000000.0
AFG,1973,Sheep and Goat ,99550.0,1350000.0
AFG,1974,Sheep and Goat ,106550.0,1350000.0
AFG,1975,Sheep and Goat ,113500.0,1500000.0
AFG,1976,Sheep and Goat ,136500.0,1500000.0
AFG,1977,Sheep and Goat ,137260.0,1020000.0
AFG,1978,Sheep and Goat ,141260.0,1020000.0
AFG,1979,Sheep and Goat ,138040.0,1080000.0
AFG,1980,Sheep and Goat ,145940.0,1380000.0
AFG,1981,Sheep and Goat ,152500.0,1500000.0
AFG,1982,Sheep and Goat ,154280.0,1560000.0
AFG,1983,Sheep and Goat ,144461.0,1497000.0
AFG,1984,Sheep and Goat ,133681.0,1437000.0
AFG,1985,Sheep and Goat ,118000.0,1000000.0
AFG,1986,Sheep and Goat ,106700.0,900000.0
AFG,1987,Sheep and Goat ,113780.0,1060000.0
AFG,1988,Sheep and Goat ,120860.0,1220000.0
AFG,1989,Sheep and Goat ,127940.0,1380000.0
AFG,1990,Sheep and Goat ,144992.0,1540000.0
AFG,1991,Sheep and Goat ,137300.0,1700000.0
AFG,1992,Sheep and Goat ,132980.0,1860000.0
AFG,1993,Sheep and Goat ,131600.0,2000000.0
AFG,1994,Sheep and Goat ,134200.0,2200000.0
AFG,1995,Sheep and Goat ,133600.0,2400000.0
AFG,1996,Sheep and Goat ,144800.0,2400000.0
AFG,1997,Sheep and Goat ,159600.0,2800000.0
AFG,1998,Sheep and Goat ,174100.0,3300000.0
AFG,1999,Sheep and Goat ,192100.0,3700000.0
AFG,2000,Sheep and Goat ,169700.0,3700000.0
AFG,2001,Sheep and Goat ,146100.0,2500000.0
AFG,2002,Sheep and Goat ,118800.0,3600000.0
AFG,2003,Sheep and Goat ,121700.0,3700000.0
AFG,2004,Sheep and Goat ,131000.0,3800000.0
AFG,2005,Sheep and Goat ,133500.0,3500000.0
AFG,2006,Sheep and Goat ,119400.0,3400000.0
AFG,2007,Sheep and Goat ,100860.0,2700000.0
AFG,2008,Sheep and Goat ,128480.0,3200000.0
AFG,2009,Sheep and Goat ,137380.0,2900000.0
AFG,2010,Sheep and Goat ,157200.0,3400000.0
AFG,2011,Sheep and Goat ,160500.0,3500000.0
AFG,2012,Sheep and Goat ,155200.0,3400000.0
AFG,2013,Sheep and Goat ,150200.0,3400000.0
AFG,2014,Sheep and Goat ,151705.0,3309796.0
AFG,2015,Sheep and Goat ,153770.0,3648060.0
AFG,2016,Sheep and Goat ,152790.0,3536309.0
AFG,2017,Sheep and Goat ,158257.0,3586355.0
AFG,2018,Sheep and Goat ,160533.0,3665997.0
ALB,1961,Sheep and Goat ,13000.0,427293.0
ALB,1962,Sheep and Goat ,13100.0,440000.0
ALB,1963,Sheep and Goat ,12500.0,400000.0
ALB,1964,Sheep and Goat ,12600.0,400000.0
ALB,1965,Sheep and Goat ,12600.0,430000.0
ALB,1966,Sheep and Goat ,12800.0,426000.0
ALB,1967,Sheep and Goat ,16200.0,538000.0
ALB,1968,Sheep and Goat ,14050.0,426000.0
ALB,1969,Sheep and Goat ,12100.0,374000.0
ALB,1970,Sheep and Goat ,11600.0,318000.0
ALB,1971,Sheep and Goat ,11725.0,301500.0
ALB,1972,Sheep and Goat ,11160.0,280000.0
ALB,1973,Sheep and Goat ,11150.0,284000.0
ALB,1974,Sheep and Goat ,11400.0,288000.0
ALB,1975,Sheep and Goat ,11600.0,300000.0
ALB,1976,Sheep and Goat ,11900.0,308000.0
ALB,1977,Sheep and Goat ,11340.0,300000.0
ALB,1978,Sheep and Goat ,12400.0,300000.0
ALB,1979,Sheep and Goat ,12600.0,300000.0
ALB,1980,Sheep and Goat ,12600.0,332000.0
ALB,1981,Sheep and Goat ,12600.0,332000.0
ALB,1982,Sheep and Goat ,11900.0,332000.0
ALB,1983,Sheep and Goat ,11400.0,332000.0
ALB,1984,Sheep and Goat ,9900.0,332000.0
ALB,1985,Sheep and Goat ,9800.0,332000.0
ALB,1986,Sheep and Goat ,9000.0,332000.0
ALB,1987,Sheep and Goat ,9600.0,360000.0
ALB,1988,Sheep and Goat ,10900.0,370000.0
ALB,1989,Sheep and Goat ,12000.0,391000.0
ALB,1990,Sheep and Goat ,12000.0,377000.0
ALB,1991,Sheep and Goat ,12500.0,406000.0
ALB,1992,Sheep and Goat ,14800.0,587000.0
ALB,1993,Sheep and Goat ,15200.0,610000.0
ALB,1994,Sheep and Goat ,18500.0,830000.0
ALB,1995,Sheep and Goat ,18300.0,583333.0
ALB,1996,Sheep and Goat ,16600.0,760000.0
ALB,1997,Sheep and Goat ,15700.0,700000.0
ALB,1998,Sheep and Goat ,16700.0,800000.0
ALB,1999,Sheep and Goat ,18100.0,800500.0
ALB,2000,Sheep and Goat ,19500.0,900000.0
ALB,2001,Sheep and Goat ,19464.0,900000.0
ALB,2002,Sheep and Goat ,19500.0,900000.0
ALB,2003,Sheep and Goat ,19500.0,900000.0
ALB,2004,Sheep and Goat ,21400.0,982000.0
ALB,2005,Sheep and Goat ,20900.0,980000.0
ALB,2006,Sheep and Goat ,20990.0,919000.0
ALB,2007,Sheep and Goat ,27400.0,1160000.0
ALB,2008,Sheep and Goat ,20700.0,725000.0
ALB,2009,Sheep and Goat ,21600.0,750000.0
ALB,2010,Sheep and Goat ,21000.0,950000.0
ALB,2011,Sheep and Goat ,21800.0,913000.0
ALB,2012,Sheep and Goat ,23040.0,600000.0
ALB,2013,Sheep and Goat ,23280.0,606250.0
ALB,2014,Sheep and Goat ,24751.0,618750.0
ALB,2015,Sheep and Goat ,26251.0,641714.0
ALB,2016,Sheep and Goat ,26300.0,644102.0
ALB,2017,Sheep and Goat ,26235.0,642374.0
ALB,2018,Sheep and Goat ,31434.0,657146.0
DZA,1961,Sheep and Goat ,39900.0,1000000.0
DZA,1962,Sheep and Goat ,37900.0,800000.0
DZA,1963,Sheep and Goat ,34213.0,621302.0
DZA,1964,Sheep and Goat ,37735.0,573452.0
DZA,1965,Sheep and Goat ,39444.0,904403.0
DZA,1966,Sheep and Goat ,38035.0,833530.0
DZA,1967,Sheep and Goat ,37700.0,800000.0
DZA,1968,Sheep and Goat ,44895.0,900000.0
DZA,1969,Sheep and Goat ,46743.0,900000.0
DZA,1970,Sheep and Goat ,50000.0,900000.0
DZA,1971,Sheep and Goat ,51260.0,850000.0
DZA,1972,Sheep and Goat ,52654.0,800000.0
DZA,1973,Sheep and Goat ,55424.0,810000.0
DZA,1974,Sheep and Goat ,53504.0,890400.0
DZA,1975,Sheep and Goat ,54940.0,794000.0
DZA,1976,Sheep and Goat ,58280.0,728000.0
DZA,1977,Sheep and Goat ,60060.0,799200.0
DZA,1978,Sheep and Goat ,63513.0,881300.0
DZA,1979,Sheep and Goat ,70062.0,986200.0
DZA,1980,Sheep and Goat ,71433.0,925900.0
DZA,1981,Sheep and Goat ,74733.0,934600.0
DZA,1982,Sheep and Goat ,84845.0,971400.0
DZA,1983,Sheep and Goat ,81070.0,1007000.0
DZA,1984,Sheep and Goat ,88550.0,955000.0
DZA,1985,Sheep and Goat ,86140.0,914000.0
DZA,1986,Sheep and Goat ,88148.0,854800.0
DZA,1987,Sheep and Goat ,115243.0,873000.0
DZA,1988,Sheep and Goat ,119082.0,758800.0
DZA,1989,Sheep and Goat ,137173.0,817300.0
DZA,1990,Sheep and Goat ,142405.0,840500.0
DZA,1991,Sheep and Goat ,152230.0,845000.0
DZA,1992,Sheep and Goat ,163750.0,875000.0
DZA,1993,Sheep and Goat ,177600.0,860000.0
DZA,1994,Sheep and Goat ,178100.0,810000.0
DZA,1995,Sheep and Goat ,178450.0,845000.0
DZA,1996,Sheep and Goat ,190000.0,1100000.0
DZA,1997,Sheep and Goat ,178860.0,1186000.0
DZA,1998,Sheep and Goat ,179160.0,1216000.0
DZA,1999,Sheep and Goat ,175475.0,1225100.0
DZA,2000,Sheep and Goat ,176350.0,1230000.0
DZA,2001,Sheep and Goat ,177350.0,1235000.0
DZA,2002,Sheep and Goat ,177250.0,1235000.0
DZA,2003,Sheep and Goat ,177350.0,1235000.0
DZA,2004,Sheep and Goat ,185100.0,1280000.0
DZA,2005,Sheep and Goat ,191283.0,1328300.0
DZA,2006,Sheep and Goat ,198890.0,1389000.0
DZA,2007,Sheep and Goat ,201200.0,1420000.0
DZA,2008,Sheep and Goat ,192600.0,1410000.0
DZA,2009,Sheep and Goat ,212200.0,1500000.0
DZA,2010,Sheep and Goat ,221418.0,1650000.0
DZA,2011,Sheep and Goat ,270204.0,1700000.0
DZA,2012,Sheep and Goat ,278698.0,1750000.0
DZA,2013,Sheep and Goat ,298463.0,1850000.0
DZA,2014,Sheep and Goat ,322127.0,1954494.0
DZA,2015,Sheep and Goat ,330401.0,1902997.0
DZA,2016,Sheep and Goat ,340612.0,1870702.0
DZA,2017,Sheep and Goat ,344155.0,1902393.0
DZA,2018,Sheep and Goat ,343639.0,1861182.0
AGO,1961,Sheep and Goat ,1659.0,145500.0
AGO,1962,Sheep and Goat ,1699.0,148500.0
AGO,1963,Sheep and Goat ,1724.0,150000.0
AGO,1964,Sheep and Goat ,1832.0,162900.0
AGO,1965,Sheep and Goat ,1929.0,174000.0
AGO,1966,Sheep and Goat ,2025.0,186000.0
AGO,1967,Sheep and Goat ,2132.0,198000.0
AGO,1968,Sheep and Goat ,2272.0,214428.0
AGO,1969,Sheep and Goat ,2367.0,222000.0
AGO,1970,Sheep and Goat ,2479.0,231086.0
AGO,1971,Sheep and Goat ,2645.0,246300.0
AGO,1972,Sheep and Goat ,2881.0,270000.0
AGO,1973,Sheep and Goat ,3032.0,285000.0
AGO,1974,Sheep and Goat ,3183.0,300000.0
AGO,1975,Sheep and Goat ,3325.0,315000.0
AGO,1976,Sheep and Goat ,3465.0,330000.0
AGO,1977,Sheep and Goat ,3605.0,345000.0
AGO,1978,Sheep and Goat ,3745.0,360000.0
AGO,1979,Sheep and Goat ,3885.0,375000.0
AGO,1980,Sheep and Goat ,3935.0,380000.0
AGO,1981,Sheep and Goat ,4030.0,390000.0
AGO,1982,Sheep and Goat ,4125.0,400000.0
AGO,1983,Sheep and Goat ,4175.0,405000.0
AGO,1984,Sheep and Goat ,4270.0,415000.0
AGO,1985,Sheep and Goat ,4320.0,420000.0
AGO,1986,Sheep and Goat ,4379.0,426000.0
AGO,1987,Sheep and Goat ,4465.0,435000.0
AGO,1988,Sheep and Goat ,4605.0,450000.0
AGO,1989,Sheep and Goat ,4735.0,465000.0
AGO,1990,Sheep and Goat ,4600.0,450000.0
AGO,1991,Sheep and Goat ,5160.0,450000.0
AGO,1992,Sheep and Goat ,5334.0,465000.0
AGO,1993,Sheep and Goat ,5622.0,450000.0
AGO,1994,Sheep and Goat ,5935.0,435000.0
AGO,1995,Sheep and Goat ,6409.0,438000.0
AGO,1996,Sheep and Goat ,7518.0,477000.0
AGO,1997,Sheep and Goat ,8700.0,516000.0
AGO,1998,Sheep and Goat ,9420.0,558000.0
AGO,1999,Sheep and Goat ,10155.0,600000.0
AGO,2000,Sheep and Goat ,10950.0,645000.0
AGO,2001,Sheep and Goat ,12938.0,750000.0
AGO,2002,Sheep and Goat ,14438.0,825000.0
AGO,2003,Sheep and Goat ,15930.0,900000.0
AGO,2004,Sheep and Goat ,16763.0,930000.0
AGO,2005,Sheep and Goat ,18225.0,1000000.0
AGO,2006,Sheep and Goat ,19050.0,1050000.0
AGO,2007,Sheep and Goat ,19290.0,1060000.0
AGO,2008,Sheep and Goat ,19845.0,1090000.0
AGO,2009,Sheep and Goat ,20400.0,1120000.0
AGO,2010,Sheep and Goat ,20925.0,1150000.0
AGO,2011,Sheep and Goat ,21555.0,1185000.0
AGO,2012,Sheep and Goat ,21855.0,1200000.0
AGO,2013,Sheep and Goat ,22725.0,1250000.0
AGO,2014,Sheep and Goat ,23240.0,1277677.0
AGO,2015,Sheep and Goat ,23767.0,1308215.0
AGO,2016,Sheep and Goat ,24046.0,1325845.0
AGO,2017,Sheep and Goat ,24448.0,1347647.0
AGO,2018,Sheep and Goat ,24915.0,1373533.0
ATG,1961,Sheep and Goat ,38.0,2000.0
ATG,1962,Sheep and Goat ,40.0,2100.0
ATG,1963,Sheep and Goat ,38.0,2000.0
ATG,1964,Sheep and Goat ,39.0,2100.0
ATG,1965,Sheep and Goat ,38.0,2100.0
ATG,1966,Sheep and Goat ,41.0,2050.0
ATG,1967,Sheep and Goat ,43.0,2100.0
ATG,1968,Sheep and Goat ,43.0,2100.0
ATG,1969,Sheep and Goat ,43.0,2050.0
ATG,1970,Sheep and Goat ,45.0,2050.0
ATG,1971,Sheep and Goat ,47.0,2200.0
ATG,1972,Sheep and Goat ,46.0,2000.0
ATG,1973,Sheep and Goat ,50.0,2100.0
ATG,1974,Sheep and Goat ,53.0,2300.0
ATG,1975,Sheep and Goat ,53.0,2300.0
ATG,1976,Sheep and Goat ,50.0,2200.0
ATG,1977,Sheep and Goat ,54.0,2600.0
ATG,1978,Sheep and Goat ,52.0,2600.0
ATG,1979,Sheep and Goat ,61.0,3200.0
ATG,1980,Sheep and Goat ,68.0,3600.0
ATG,1981,Sheep and Goat ,68.0,3600.0
ATG,1982,Sheep and Goat ,69.0,3600.0
ATG,1983,Sheep and Goat ,70.0,3600.0
ATG,1984,Sheep and Goat ,70.0,3600.0
ATG,1985,Sheep and Goat ,71.0,3600.0
ATG,1986,Sheep and Goat ,74.0,3900.0
ATG,1987,Sheep and Goat ,75.0,3900.0
ATG,1988,Sheep and Goat ,73.0,3900.0
ATG,1989,Sheep and Goat ,72.0,3800.0
ATG,1990,Sheep and Goat ,73.0,3900.0
ATG,1991,Sheep and Goat ,74.0,3900.0
ATG,1992,Sheep and Goat ,74.0,3900.0
ATG,1993,Sheep and Goat ,81.0,4600.0
ATG,1994,Sheep and Goat ,91.0,5600.0
ATG,1995,Sheep and Goat ,105.0,6800.0
ATG,1996,Sheep and Goat ,117.0,7700.0
ATG,1997,Sheep and Goat ,129.0,8700.0
ATG,1998,Sheep and Goat ,137.0,9300.0
ATG,1999,Sheep and Goat ,145.0,9900.0
ATG,2000,Sheep and Goat ,152.0,10500.0
ATG,2001,Sheep and Goat ,154.0,10700.0
ATG,2002,Sheep and Goat ,157.0,10800.0
ATG,2003,Sheep and Goat ,159.0,10950.0
ATG,2004,Sheep and Goat ,161.0,11100.0
ATG,2005,Sheep and Goat ,166.0,11100.0
ATG,2006,Sheep and Goat ,175.0,11500.0
ATG,2007,Sheep and Goat ,192.0,12000.0
ATG,2008,Sheep and Goat ,157.0,8000.0
ATG,2009,Sheep and Goat ,134.0,6000.0
ATG,2010,Sheep and Goat ,25.0,1000.0
ATG,2011,Sheep and Goat ,44.0,3400.0
ATG,2012,Sheep and Goat ,12.0,167.0
ATG,2013,Sheep and Goat ,27.0,1400.0
ATG,2014,Sheep and Goat ,27.0,1600.0
ATG,2015,Sheep and Goat ,22.0,1000.0
ATG,2016,Sheep and Goat ,24.0,1300.0
ATG,2017,Sheep and Goat ,24.0,1300.0
ATG,2018,Sheep and Goat ,14.0,540.0
ARG,1961,Sheep and Goat ,176976.0,1600000.0
ARG,1962,Sheep and Goat ,176036.0,1500000.0
ARG,1963,Sheep and Goat ,160529.0,1500000.0
ARG,1964,Sheep and Goat ,145297.0,1500000.0
ARG,1965,Sheep and Goat ,173064.0,1530000.0
ARG,1966,Sheep and Goat ,197896.0,1560000.0
ARG,1967,Sheep and Goat ,214276.0,1580000.0
ARG,1968,Sheep and Goat ,219370.0,1590000.0
ARG,1969,Sheep and Goat ,203603.0,1600000.0
ARG,1970,Sheep and Goat ,186768.0,1610000.0
ARG,1971,Sheep and Goat ,185833.0,1626000.0
ARG,1972,Sheep and Goat ,142946.0,1638000.0
ARG,1973,Sheep and Goat ,138396.0,1650000.0
ARG,1974,Sheep and Goat ,120946.0,1374000.0
ARG,1975,Sheep and Goat ,131281.0,1200000.0
ARG,1976,Sheep and Goat ,134971.0,1200000.0
ARG,1977,Sheep and Goat ,139921.0,1050000.0
ARG,1978,Sheep and Goat ,136617.0,960000.0
ARG,1979,Sheep and Goat ,136609.0,950000.0
ARG,1980,Sheep and Goat ,117816.0,950000.0
ARG,1981,Sheep and Goat ,120048.0,950000.0
ARG,1982,Sheep and Goat ,117118.0,950000.0
ARG,1983,Sheep and Goat ,116526.0,930000.0
ARG,1984,Sheep and Goat ,115270.0,950000.0
ARG,1985,Sheep and Goat ,104376.0,950000.0
ARG,1986,Sheep and Goat ,104270.0,950000.0
ARG,1987,Sheep and Goat ,96270.0,950000.0
ARG,1988,Sheep and Goat ,89689.0,960000.0
ARG,1989,Sheep and Goat ,90784.0,960000.0
ARG,1990,Sheep and Goat ,91600.0,1000000.0
ARG,1991,Sheep and Goat ,91532.0,1020000.0
ARG,1992,Sheep and Goat ,72684.0,1050000.0
ARG,1993,Sheep and Goat ,72191.0,1113000.0
ARG,1994,Sheep and Goat ,92480.0,1194000.0
ARG,1995,Sheep and Goat ,88259.0,1100000.0
ARG,1996,Sheep and Goat ,71259.0,1100000.0
ARG,1997,Sheep and Goat ,65259.0,1100000.0
ARG,1998,Sheep and Goat ,56896.0,1348000.0
ARG,1999,Sheep and Goat ,54002.0,1364000.0
ARG,2000,Sheep and Goat ,59002.0,1364000.0
ARG,2001,Sheep and Goat ,91101.0,1365000.0
ARG,2002,Sheep and Goat ,59539.0,1400000.0
ARG,2003,Sheep and Goat ,61269.0,1450000.0
ARG,2004,Sheep and Goat ,54269.0,1450000.0
ARG,2005,Sheep and Goat ,61270.0,1450000.0
ARG,2006,Sheep and Goat ,59069.0,1450000.0
ARG,2007,Sheep and Goat ,58799.0,1500000.0
ARG,2008,Sheep and Goat ,55899.0,1500000.0
